"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"gene_name"	"gene_biotype"	"seq_coord_system"	"symbol"	"entrezid"
"ENSG00000152078"	"chr1"	95117337	95117338	2	"+"	"ENSG00000152078"	"TMEM56"	"protein_coding"	"chromosome"	"TMEM56"	148534
"ENSG00000271092"	"chr1"	95117922	95117923	2	"+"	"ENSG00000271092"	"TMEM56-RWDD3"	"protein_coding"	"chromosome"	"TMEM56-RWDD3"	100527978
"ENSG00000122481"	"chr1"	95234154	95234155	2	"+"	"ENSG00000122481"	"RWDD3"	"protein_coding"	"chromosome"	"RWDD3"	25950
"ENSG00000117569"	"chr1"	96721664	96721665	2	"+"	"ENSG00000117569"	"PTBP2"	"protein_coding"	"chromosome"	"PTBP2"	58155
"ENSG00000188641"	"chr1"	97921049	97921050	2	"-"	"ENSG00000188641"	"DPYD"	"protein_coding"	"chromosome"	"DPYD"	1806
"ENSG00000162627"	"chr1"	98661700	98661701	2	"+"	"ENSG00000162627"	"SNX7"	"protein_coding"	"chromosome"	"SNX7"	51375
"ENSG00000117598"	"chr1"	99005032	99005033	2	"-"	"ENSG00000117598"	"PLPPR5"	"protein_coding"	"chromosome"	"PLPPR5"	163404
"ENSG00000117600"	"chr1"	99263952	99263953	2	"+"	"ENSG00000117600"	"PLPPR4"	"protein_coding"	"chromosome"	"PLPPR4"	9890
"ENSG00000099260"	"chr1"	99645942	99645943	2	"+"	"ENSG00000099260"	"PALMD"	"protein_coding"	"chromosome"	"PALMD"	54873
"ENSG00000156869"	"chr1"	99766631	99766632	2	"-"	"ENSG00000156869"	"FRRS1"	"protein_coding"	"chromosome"	"FRRS1"	391059
"ENSG00000162688"	"chr1"	99850083	99850084	2	"+"	"ENSG00000162688"	"AGL"	"protein_coding"	"chromosome"	"AGL"	178
"ENSG00000283495"	"chr1"	99861471	99861472	2	"+"	"ENSG00000283495"	"AC096949.1"	"protein_coding"	"chromosome"	"AC096949.1"	178
"ENSG00000117620"	"chr1"	99969788	99969789	2	"+"	"ENSG00000117620"	"SLC35A3"	"protein_coding"	"chromosome"	"SLC35A3"	23443
"ENSG00000156875"	"chr1"	100038096	100038097	2	"+"	"ENSG00000156875"	"MFSD14A"	"protein_coding"	"chromosome"	"MFSD14A"	64645
"ENSG00000156876"	"chr1"	100132955	100132956	2	"-"	"ENSG00000156876"	"SASS6"	"protein_coding"	"chromosome"	"SASS6"	163786
"ENSG00000122435"	"chr1"	100133149	100133150	2	"+"	"ENSG00000122435"	"TRMT13"	"protein_coding"	"chromosome"	"TRMT13"	54482
"ENSG00000122477"	"chr1"	100178273	100178274	2	"-"	"ENSG00000122477"	"LRRC39"	"protein_coding"	"chromosome"	"LRRC39"	127495
"ENSG00000137992"	"chr1"	100249834	100249835	2	"-"	"ENSG00000137992"	"DBT"	"protein_coding"	"chromosome"	"DBT"	1629
"ENSG00000137996"	"chr1"	100266206	100266207	2	"+"	"ENSG00000137996"	"RTCA"	"protein_coding"	"chromosome"	"RTCA"	8634
"ENSG00000079335"	"chr1"	100345024	100345025	2	"+"	"ENSG00000079335"	"CDC14A"	"protein_coding"	"chromosome"	"CDC14A"	8556
"ENSG00000181656"	"chr1"	100538136	100538137	2	"+"	"ENSG00000181656"	"GPR88"	"protein_coding"	"chromosome"	"GPR88"	54112
"ENSG00000162692"	"chr1"	100719741	100719742	2	"+"	"ENSG00000162692"	"VCAM1"	"protein_coding"	"chromosome"	"VCAM1"	7412
"ENSG00000162694"	"chr1"	100895998	100895999	2	"-"	"ENSG00000162694"	"EXTL2"	"protein_coding"	"chromosome"	"EXTL2"	2135
"ENSG00000162695"	"chr1"	100896075	100896076	2	"+"	"ENSG00000162695"	"SLC30A7"	"protein_coding"	"chromosome"	"SLC30A7"	148867
"ENSG00000117543"	"chr1"	101026088	101026089	2	"-"	"ENSG00000117543"	"DPH5"	"protein_coding"	"chromosome"	"DPH5"	51611
"ENSG00000170989"	"chr1"	101236887	101236888	2	"+"	"ENSG00000170989"	"S1PR1"	"protein_coding"	"chromosome"	"S1PR1"	1901
"ENSG00000118733"	"chr1"	101997030	101997031	2	"-"	"ENSG00000118733"	"OLFM3"	"protein_coding"	"chromosome"	"OLFM3"	118427
"ENSG00000060718"	"chr1"	103108496	103108497	2	"-"	"ENSG00000060718"	"COL11A1"	"protein_coding"	"chromosome"	"COL11A1"	1301
"ENSG00000185946"	"chr1"	103525690	103525691	2	"+"	"ENSG00000185946"	"RNPC3"	"protein_coding"	"chromosome"	"RNPC3"	55599
"ENSG00000240038"	"chr1"	103553814	103553815	2	"+"	"ENSG00000240038"	"AMY2B"	"protein_coding"	"chromosome"	"AMY2B"	280
"ENSG00000243480"	"chr1"	103616810	103616811	2	"+"	"ENSG00000243480"	"AMY2A"	"protein_coding"	"chromosome"	"AMY2A"	279
"ENSG00000237763"	"chr1"	103655289	103655290	2	"+"	"ENSG00000237763"	"AMY1A"	"protein_coding"	"chromosome"	"AMY1A"	276
"ENSG00000174876"	"chr1"	103696680	103696681	2	"-"	"ENSG00000174876"	"AMY1B"	"protein_coding"	"chromosome"	"AMY1B"	278:277
"ENSG00000187733"	"chr1"	103750405	103750406	2	"+"	"ENSG00000187733"	"AMY1C"	"protein_coding"	"chromosome"	"AMY1C"	278
"ENSG00000198890"	"chr1"	107056678	107056679	2	"+"	"ENSG00000198890"	"PRMT6"	"protein_coding"	"chromosome"	"PRMT6"	55170
"ENSG00000162631"	"chr1"	107140006	107140007	2	"+"	"ENSG00000162631"	"NTNG1"	"protein_coding"	"chromosome"	"NTNG1"	22854
"ENSG00000134215"	"chr1"	107965144	107965145	2	"-"	"ENSG00000134215"	"VAV3"	"protein_coding"	"chromosome"	"VAV3"	10451
"ENSG00000085491"	"chr1"	108200849	108200850	2	"-"	"ENSG00000085491"	"SLC25A24"	"protein_coding"	"chromosome"	"SLC25A24"	29957
"ENSG00000196427"	"chr1"	108244081	108244082	2	"-"	"ENSG00000196427"	"NBPF4"	"protein_coding"	"chromosome"	"NBPF4"	148545
"ENSG00000186086"	"chr1"	108376118	108376119	2	"+"	"ENSG00000186086"	"NBPF6"	"protein_coding"	"chromosome"	"NBPF6"	653149
"ENSG00000162636"	"chr1"	108560088	108560089	2	"+"	"ENSG00000162636"	"FAM102B"	"protein_coding"	"chromosome"	"FAM102B"	284611
"ENSG00000162639"	"chr1"	108661526	108661527	2	"-"	"ENSG00000162639"	"HENMT1"	"protein_coding"	"chromosome"	"HENMT1"	113802
"ENSG00000134186"	"chr1"	108692322	108692323	2	"+"	"ENSG00000134186"	"PRPF38B"	"protein_coding"	"chromosome"	"PRPF38B"	55119
"ENSG00000143107"	"chr1"	108712656	108712657	2	"+"	"ENSG00000143107"	"FNDC7"	"protein_coding"	"chromosome"	"FNDC7"	163479
"ENSG00000116266"	"chr1"	108746673	108746674	2	"+"	"ENSG00000116266"	"STXBP3"	"protein_coding"	"chromosome"	"STXBP3"	6814
"ENSG00000162641"	"chr1"	108858228	108858229	2	"-"	"ENSG00000162641"	"AKNAD1"	"protein_coding"	"chromosome"	"AKNAD1"	254268
"ENSG00000274068"	"chr1"	108963484	108963485	2	"-"	"ENSG00000274068"	"RP11-475E11.9"	"protein_coding"	"chromosome"	"RP11-475E11.9"	.
"ENSG00000121957"	"chr1"	108875349	108875350	2	"+"	"ENSG00000121957"	"GPSM2"	"protein_coding"	"chromosome"	"GPSM2"	29899
"ENSG00000121940"	"chr1"	108963457	108963458	2	"-"	"ENSG00000121940"	"CLCC1"	"protein_coding"	"chromosome"	"CLCC1"	23155
"ENSG00000085433"	"chr1"	109042113	109042114	2	"-"	"ENSG00000085433"	"WDR47"	"protein_coding"	"chromosome"	"WDR47"	22911
"ENSG00000197780"	"chr1"	109076002	109076003	2	"-"	"ENSG00000197780"	"TAF13"	"protein_coding"	"chromosome"	"TAF13"	6884
"ENSG00000215717"	"chr1"	109089802	109089803	2	"+"	"ENSG00000215717"	"TMEM167B"	"protein_coding"	"chromosome"	"TMEM167B"	56900
"ENSG00000179902"	"chr1"	109113857	109113858	2	"-"	"ENSG00000179902"	"C1orf194"	"protein_coding"	"chromosome"	"C1orf194"	127003
"ENSG00000116299"	"chr1"	109113678	109113679	2	"+"	"ENSG00000116299"	"KIAA1324"	"protein_coding"	"chromosome"	"KIAA1324"	57535
"ENSG00000031698"	"chr1"	109213917	109213918	2	"+"	"ENSG00000031698"	"SARS"	"protein_coding"	"chromosome"	"SARS"	6301
"ENSG00000143126"	"chr1"	109250018	109250019	2	"+"	"ENSG00000143126"	"CELSR2"	"protein_coding"	"chromosome"	"CELSR2"	1952
"ENSG00000134222"	"chr1"	109283186	109283187	2	"-"	"ENSG00000134222"	"PSRC1"	"protein_coding"	"chromosome"	"PSRC1"	84722
"ENSG00000221986"	"chr1"	109307041	109307042	2	"-"	"ENSG00000221986"	"MYBPHL"	"protein_coding"	"chromosome"	"MYBPHL"	343263
"ENSG00000134243"	"chr1"	109397951	109397952	2	"-"	"ENSG00000134243"	"SORT1"	"protein_coding"	"chromosome"	"SORT1"	6272
"ENSG00000143106"	"chr1"	109426427	109426428	2	"-"	"ENSG00000143106"	"PSMA5"	"protein_coding"	"chromosome"	"PSMA5"	5686
"ENSG00000143028"	"chr1"	109466627	109466628	2	"+"	"ENSG00000143028"	"SYPL2"	"protein_coding"	"chromosome"	"SYPL2"	284612
"ENSG00000162650"	"chr1"	109483478	109483479	2	"+"	"ENSG00000162650"	"ATXN7L2"	"protein_coding"	"chromosome"	"ATXN7L2"	127002
"ENSG00000174151"	"chr1"	109494051	109494052	2	"+"	"ENSG00000174151"	"CYB561D1"	"protein_coding"	"chromosome"	"CYB561D1"	284613
"ENSG00000181754"	"chr1"	109509738	109509739	2	"-"	"ENSG00000181754"	"AMIGO1"	"protein_coding"	"chromosome"	"AMIGO1"	57463
"ENSG00000156097"	"chr1"	109539871	109539872	2	"+"	"ENSG00000156097"	"GPR61"	"protein_coding"	"chromosome"	"GPR61"	83873
"ENSG00000065135"	"chr1"	109548610	109548611	2	"+"	"ENSG00000065135"	"GNAI3"	"protein_coding"	"chromosome"	"GNAI3"	c(406974, 2773)
"ENSG00000134183"	"chr1"	109619929	109619930	2	"-"	"ENSG00000134183"	"GNAT2"	"protein_coding"	"chromosome"	"GNAT2"	2780
"ENSG00000116337"	"chr1"	109616103	109616104	2	"+"	"ENSG00000116337"	"AMPD2"	"protein_coding"	"chromosome"	"AMPD2"	271
"ENSG00000168765"	"chr1"	109656080	109656081	2	"+"	"ENSG00000168765"	"GSTM4"	"protein_coding"	"chromosome"	"GSTM4"	2948
"ENSG00000213366"	"chr1"	109668021	109668022	2	"+"	"ENSG00000213366"	"GSTM2"	"protein_coding"	"chromosome"	"GSTM2"	2946
"ENSG00000134184"	"chr1"	109687813	109687814	2	"+"	"ENSG00000134184"	"GSTM1"	"protein_coding"	"chromosome"	"GSTM1"	2944
"ENSG00000134201"	"chr1"	109712254	109712255	2	"+"	"ENSG00000134201"	"GSTM5"	"protein_coding"	"chromosome"	"GSTM5"	2949
"ENSG00000134202"	"chr1"	109741038	109741039	2	"-"	"ENSG00000134202"	"GSTM3"	"protein_coding"	"chromosome"	"GSTM3"	2947
"ENSG00000198758"	"chr1"	109764027	109764028	2	"-"	"ENSG00000198758"	"EPS8L3"	"protein_coding"	"chromosome"	"EPS8L3"	79574
"ENSG00000184371"	"chr1"	109910241	109910242	2	"+"	"ENSG00000184371"	"CSF1"	"protein_coding"	"chromosome"	"CSF1"	1435
"ENSG00000168710"	"chr1"	109984685	109984686	2	"+"	"ENSG00000168710"	"AHCYL1"	"protein_coding"	"chromosome"	"AHCYL1"	10768
"ENSG00000143093"	"chr1"	110031576	110031577	2	"+"	"ENSG00000143093"	"STRIP1"	"protein_coding"	"chromosome"	"STRIP1"	85369
"ENSG00000156150"	"chr1"	110070700	110070701	2	"-"	"ENSG00000156150"	"ALX3"	"protein_coding"	"chromosome"	"ALX3"	257
"ENSG00000186150"	"chr1"	110112467	110112468	2	"+"	"ENSG00000186150"	"UBL4B"	"protein_coding"	"chromosome"	"UBL4B"	164153
"ENSG00000197106"	"chr1"	110150485	110150486	2	"+"	"ENSG00000197106"	"SLC6A17"	"protein_coding"	"chromosome"	"SLC6A17"	388662
"ENSG00000116396"	"chr1"	110211342	110211343	2	"+"	"ENSG00000116396"	"KCNC4"	"protein_coding"	"chromosome"	"KCNC4"	3749
"ENSG00000162775"	"chr1"	110338505	110338506	2	"+"	"ENSG00000162775"	"RBM15"	"protein_coding"	"chromosome"	"RBM15"	64783
"ENSG00000168679"	"chr1"	110391082	110391083	2	"-"	"ENSG00000168679"	"SLC16A4"	"protein_coding"	"chromosome"	"SLC16A4"	9122
"ENSG00000134248"	"chr1"	110407942	110407943	2	"-"	"ENSG00000134248"	"LAMTOR5"	"protein_coding"	"chromosome"	"LAMTOR5"	10542
"ENSG00000143125"	"chr1"	110451199	110451200	2	"+"	"ENSG00000143125"	"PROK1"	"protein_coding"	"chromosome"	"PROK1"	84432
"ENSG00000143105"	"chr1"	110519175	110519176	2	"-"	"ENSG00000143105"	"KCNA10"	"protein_coding"	"chromosome"	"KCNA10"	3744
"ENSG00000177301"	"chr1"	110631474	110631475	2	"-"	"ENSG00000177301"	"KCNA2"	"protein_coding"	"chromosome"	"KCNA2"	3737
"ENSG00000177272"	"chr1"	110675033	110675034	2	"-"	"ENSG00000177272"	"KCNA3"	"protein_coding"	"chromosome"	"KCNA3"	3738
"ENSG00000143119"	"chr1"	110873153	110873154	2	"+"	"ENSG00000143119"	"CD53"	"protein_coding"	"chromosome"	"CD53"	963
"ENSG00000121931"	"chr1"	110964079	110964080	2	"-"	"ENSG00000121931"	"LRIF1"	"protein_coding"	"chromosome"	"LRIF1"	55791
"ENSG00000156171"	"chr1"	111140216	111140217	2	"-"	"ENSG00000156171"	"DRAM2"	"protein_coding"	"chromosome"	"DRAM2"	128338
"ENSG00000134255"	"chr1"	111139626	111139627	2	"+"	"ENSG00000134255"	"CEPT1"	"protein_coding"	"chromosome"	"CEPT1"	10390
"ENSG00000162777"	"chr1"	111204535	111204536	2	"-"	"ENSG00000162777"	"DENND2D"	"protein_coding"	"chromosome"	"DENND2D"	79961
"ENSG00000064886"	"chr1"	111200770	111200771	2	"+"	"ENSG00000064886"	"CHI3L2"	"protein_coding"	"chromosome"	"CHI3L2"	1117
"ENSG00000134216"	"chr1"	111290861	111290862	2	"+"	"ENSG00000134216"	"CHIA"	"protein_coding"	"chromosome"	"CHIA"	27159
"ENSG00000173947"	"chr1"	111346287	111346288	2	"+"	"ENSG00000173947"	"PIFO"	"protein_coding"	"chromosome"	"PIFO"	128344
"ENSG00000085465"	"chr1"	111427777	111427778	2	"-"	"ENSG00000085465"	"OVGP1"	"protein_coding"	"chromosome"	"OVGP1"	5016
"ENSG00000116455"	"chr1"	111449376	111449377	2	"-"	"ENSG00000116455"	"WDR77"	"protein_coding"	"chromosome"	"WDR77"	79084
"ENSG00000116459"	"chr1"	111448863	111448864	2	"+"	"ENSG00000116459"	"ATP5F1"	"protein_coding"	"chromosome"	"ATP5F1"	515
"ENSG00000143110"	"chr1"	111473791	111473792	2	"+"	"ENSG00000143110"	"C1orf162"	"protein_coding"	"chromosome"	"C1orf162"	128346
"ENSG00000121933"	"chr1"	111563962	111563963	2	"-"	"ENSG00000121933"	"TMIGD3"	"protein_coding"	"chromosome"	"TMIGD3"	57413
"ENSG00000282608"	"chr1"	111503760	111503761	2	"-"	"ENSG00000282608"	"ADORA3"	"protein_coding"	"chromosome"	"ADORA3"	140
"ENSG00000116473"	"chr1"	111542217	111542218	2	"+"	"ENSG00000116473"	"RAP1A"	"protein_coding"	"chromosome"	"RAP1A"	5906
"ENSG00000197852"	"chr1"	111755824	111755825	2	"-"	"ENSG00000197852"	"FAM212B"	"protein_coding"	"chromosome"	"FAM212B"	c(101928718, 55924)
"ENSG00000064703"	"chr1"	111755244	111755245	2	"+"	"ENSG00000064703"	"DDX20"	"protein_coding"	"chromosome"	"DDX20"	11218
"ENSG00000171385"	"chr1"	111989155	111989156	2	"-"	"ENSG00000171385"	"KCND3"	"protein_coding"	"chromosome"	"KCND3"	3752
"ENSG00000143079"	"chr1"	112396180	112396181	2	"+"	"ENSG00000143079"	"CTTNBP2NL"	"protein_coding"	"chromosome"	"CTTNBP2NL"	55917
"ENSG00000134245"	"chr1"	112466540	112466541	2	"+"	"ENSG00000134245"	"WNT2B"	"protein_coding"	"chromosome"	"WNT2B"	7482
"ENSG00000007341"	"chr1"	112620825	112620826	2	"-"	"ENSG00000007341"	"ST7L"	"protein_coding"	"chromosome"	"ST7L"	54879
"ENSG00000116489"	"chr1"	112619172	112619173	2	"+"	"ENSG00000116489"	"CAPZA1"	"protein_coding"	"chromosome"	"CAPZA1"	829
"ENSG00000155363"	"chr1"	112673140	112673141	2	"+"	"ENSG00000155363"	"MOV10"	"protein_coding"	"chromosome"	"MOV10"	4343
"ENSG00000155366"	"chr1"	112707434	112707435	2	"-"	"ENSG00000155366"	"RHOC"	"protein_coding"	"chromosome"	"RHOC"	389
"ENSG00000271810"	"chr1"	112711433	112711434	2	"-"	"ENSG00000271810"	"RP11-426L16.10"	"protein_coding"	"chromosome"	"RP11-426L16.10"	.
"ENSG00000155367"	"chr1"	112715477	112715478	2	"-"	"ENSG00000155367"	"PPM1J"	"protein_coding"	"chromosome"	"PPM1J"	333926
"ENSG00000184599"	"chr1"	112720418	112720419	2	"+"	"ENSG00000184599"	"FAM19A3"	"protein_coding"	"chromosome"	"FAM19A3"	284467
"ENSG00000155380"	"chr1"	112957013	112957014	2	"-"	"ENSG00000155380"	"SLC16A1"	"protein_coding"	"chromosome"	"SLC16A1"	6566
"ENSG00000198799"	"chr1"	113073208	113073209	2	"+"	"ENSG00000198799"	"LRIG2"	"protein_coding"	"chromosome"	"LRIG2"	9860
"ENSG00000081026"	"chr1"	113390748	113390749	2	"+"	"ENSG00000081026"	"MAGI3"	"protein_coding"	"chromosome"	"MAGI3"	260425
"ENSG00000116793"	"chr1"	113759489	113759490	2	"-"	"ENSG00000116793"	"PHTF1"	"protein_coding"	"chromosome"	"PHTF1"	10745
"ENSG00000081019"	"chr1"	113812476	113812477	2	"-"	"ENSG00000081019"	"RSBN1"	"protein_coding"	"chromosome"	"RSBN1"	54665
"ENSG00000134242"	"chr1"	113871759	113871760	2	"-"	"ENSG00000134242"	"PTPN22"	"protein_coding"	"chromosome"	"PTPN22"	26191
"ENSG00000188761"	"chr1"	113887547	113887548	2	"-"	"ENSG00000188761"	"BCL2L15"	"protein_coding"	"chromosome"	"BCL2L15"	440603
"ENSG00000134262"	"chr1"	113905201	113905202	2	"-"	"ENSG00000134262"	"AP4B1"	"protein_coding"	"chromosome"	"AP4B1"	10717
"ENSG00000118655"	"chr1"	113905140	113905141	2	"+"	"ENSG00000118655"	"DCLRE1B"	"protein_coding"	"chromosome"	"DCLRE1B"	64858
"ENSG00000163349"	"chr1"	113929191	113929192	2	"+"	"ENSG00000163349"	"HIPK1"	"protein_coding"	"chromosome"	"HIPK1"	204851
"ENSG00000116774"	"chr1"	113979390	113979391	2	"+"	"ENSG00000116774"	"OLFML3"	"protein_coding"	"chromosome"	"OLFML3"	56944
"ENSG00000134207"	"chr1"	114153919	114153920	2	"-"	"ENSG00000134207"	"SYT6"	"protein_coding"	"chromosome"	"SYT6"	148281
"ENSG00000197323"	"chr1"	114511160	114511161	2	"-"	"ENSG00000197323"	"TRIM33"	"protein_coding"	"chromosome"	"TRIM33"	51592
"ENSG00000116752"	"chr1"	114581639	114581640	2	"-"	"ENSG00000116752"	"BCAS2"	"protein_coding"	"chromosome"	"BCAS2"	10286
"ENSG00000175984"	"chr1"	114670422	114670423	2	"-"	"ENSG00000175984"	"DENND2C"	"protein_coding"	"chromosome"	"DENND2C"	163259
"ENSG00000116748"	"chr1"	114695618	114695619	2	"-"	"ENSG00000116748"	"AMPD1"	"protein_coding"	"chromosome"	"AMPD1"	270
"ENSG00000213281"	"chr1"	114716894	114716895	2	"-"	"ENSG00000213281"	"NRAS"	"protein_coding"	"chromosome"	"NRAS"	4893
"ENSG00000009307"	"chr1"	114758676	114758677	2	"-"	"ENSG00000009307"	"CSDE1"	"protein_coding"	"chromosome"	"CSDE1"	7812
"ENSG00000052723"	"chr1"	114780685	114780686	2	"-"	"ENSG00000052723"	"SIKE1"	"protein_coding"	"chromosome"	"SIKE1"	80143
"ENSG00000198765"	"chr1"	114854802	114854803	2	"+"	"ENSG00000198765"	"SYCP1"	"protein_coding"	"chromosome"	"SYCP1"	6847
"ENSG00000134200"	"chr1"	115029823	115029824	2	"+"	"ENSG00000134200"	"TSHB"	"protein_coding"	"chromosome"	"TSHB"	7252
"ENSG00000134198"	"chr1"	115089500	115089501	2	"-"	"ENSG00000134198"	"TSPAN2"	"protein_coding"	"chromosome"	"TSPAN2"	10100
"ENSG00000134259"	"chr1"	115338236	115338237	2	"-"	"ENSG00000134259"	"NGF"	"protein_coding"	"chromosome"	"NGF"	4803
"ENSG00000173218"	"chr1"	115641952	115641953	2	"+"	"ENSG00000173218"	"VANGL1"	"protein_coding"	"chromosome"	"VANGL1"	81839
"ENSG00000118729"	"chr1"	115768781	115768782	2	"-"	"ENSG00000118729"	"CASQ2"	"protein_coding"	"chromosome"	"CASQ2"	845
"ENSG00000177551"	"chr1"	115843917	115843918	2	"-"	"ENSG00000177551"	"NHLH2"	"protein_coding"	"chromosome"	"NHLH2"	4808
"ENSG00000163393"	"chr1"	115976497	115976498	2	"+"	"ENSG00000163393"	"SLC22A15"	"protein_coding"	"chromosome"	"SLC22A15"	55356
"ENSG00000173212"	"chr1"	116111754	116111755	2	"+"	"ENSG00000173212"	"MAB21L3"	"protein_coding"	"chromosome"	"MAB21L3"	126868
"ENSG00000163399"	"chr1"	116372667	116372668	2	"+"	"ENSG00000163399"	"ATP1A1"	"protein_coding"	"chromosome"	"ATP1A1"	476
"ENSG00000116815"	"chr1"	116571039	116571040	2	"-"	"ENSG00000116815"	"CD58"	"protein_coding"	"chromosome"	"CD58"	965
"ENSG00000143061"	"chr1"	116667755	116667756	2	"-"	"ENSG00000143061"	"IGSF3"	"protein_coding"	"chromosome"	"IGSF3"	3321
"ENSG00000116824"	"chr1"	116754384	116754385	2	"+"	"ENSG00000116824"	"CD2"	"protein_coding"	"chromosome"	"CD2"	914
"ENSG00000134247"	"chr1"	116910056	116910057	2	"+"	"ENSG00000134247"	"PTGFRN"	"protein_coding"	"chromosome"	"PTGFRN"	5738
"ENSG00000134256"	"chr1"	117001749	117001750	2	"+"	"ENSG00000134256"	"CD101"	"protein_coding"	"chromosome"	"CD101"	9398
"ENSG00000116830"	"chr1"	117060302	117060303	2	"+"	"ENSG00000116830"	"TTF2"	"protein_coding"	"chromosome"	"TTF2"	8458
"ENSG00000134253"	"chr1"	117122587	117122588	2	"-"	"ENSG00000134253"	"TRIM45"	"protein_coding"	"chromosome"	"TRIM45"	80263
"ENSG00000134258"	"chr1"	117210960	117210961	2	"-"	"ENSG00000134258"	"VTCN1"	"protein_coding"	"chromosome"	"VTCN1"	79679
"ENSG00000198162"	"chr1"	117367448	117367449	2	"+"	"ENSG00000198162"	"MAN1A2"	"protein_coding"	"chromosome"	"MAN1A2"	10905
"ENSG00000183508"	"chr1"	117605933	117605934	2	"+"	"ENSG00000183508"	"FAM46C"	"protein_coding"	"chromosome"	"FAM46C"	54855
"ENSG00000196505"	"chr1"	117929630	117929631	2	"-"	"ENSG00000196505"	"GDAP2"	"protein_coding"	"chromosome"	"GDAP2"	54834
"ENSG00000065183"	"chr1"	117929719	117929720	2	"+"	"ENSG00000065183"	"WDR3"	"protein_coding"	"chromosome"	"WDR3"	10885
"ENSG00000155761"	"chr1"	118185223	118185224	2	"-"	"ENSG00000155761"	"SPAG17"	"protein_coding"	"chromosome"	"SPAG17"	200162
"ENSG00000092607"	"chr1"	118989556	118989557	2	"-"	"ENSG00000092607"	"TBX15"	"protein_coding"	"chromosome"	"TBX15"	6913
"ENSG00000116874"	"chr1"	119140671	119140672	2	"-"	"ENSG00000116874"	"WARS2"	"protein_coding"	"chromosome"	"WARS2"	10352
"ENSG00000116882"	"chr1"	119368778	119368779	2	"+"	"ENSG00000116882"	"HAO2"	"protein_coding"	"chromosome"	"HAO2"	51179
"ENSG00000203859"	"chr1"	119414930	119414931	2	"+"	"ENSG00000203859"	"HSD3B2"	"protein_coding"	"chromosome"	"HSD3B2"	3284
"ENSG00000203857"	"chr1"	119507197	119507198	2	"+"	"ENSG00000203857"	"HSD3B1"	"protein_coding"	"chromosome"	"HSD3B1"	3283
"ENSG00000143067"	"chr1"	119647773	119647774	2	"-"	"ENSG00000143067"	"ZNF697"	"protein_coding"	"chromosome"	"ZNF697"	90874
"ENSG00000092621"	"chr1"	119659797	119659798	2	"+"	"ENSG00000092621"	"PHGDH"	"protein_coding"	"chromosome"	"PHGDH"	26227
"ENSG00000134240"	"chr1"	119768905	119768906	2	"-"	"ENSG00000134240"	"HMGCS2"	"protein_coding"	"chromosome"	"HMGCS2"	3158
"ENSG00000134193"	"chr1"	119811660	119811661	2	"-"	"ENSG00000134193"	"REG4"	"protein_coding"	"chromosome"	"REG4"	83998
"ENSG00000134249"	"chr1"	119896495	119896496	2	"-"	"ENSG00000134249"	"ADAM30"	"protein_coding"	"chromosome"	"ADAM30"	11085
"ENSG00000134250"	"chr1"	120069626	120069627	2	"-"	"ENSG00000134250"	"NOTCH2"	"protein_coding"	"chromosome"	"NOTCH2"	4853
"ENSG00000265808"	"chr1"	120176515	120176516	2	"-"	"ENSG00000265808"	"SEC22B"	"protein_coding"	"chromosome"	"SEC22B"	9554
"ENSG00000273136"	"chr1"	120723922	120723923	2	"+"	"ENSG00000273136"	"NBPF26"	"protein_coding"	"chromosome"	"NBPF26"	.
"ENSG00000263353"	"chr1"	120889745	120889746	2	"+"	"ENSG00000263353"	"PPIAL4A"	"protein_coding"	"chromosome"	"PPIAL4A"	653505
"ENSG00000281741"	"chr1"	120914238	120914239	2	"-"	"ENSG00000281741"	"AC241377.1"	"protein_coding"	"chromosome"	"AC241377.1"	100996720
"ENSG00000198019"	"chr1"	121087344	121087345	2	"+"	"ENSG00000198019"	"FCGR1B"	"protein_coding"	"chromosome"	"FCGR1B"	2210
"ENSG00000188610"	"chr1"	121185539	121185540	2	"-"	"ENSG00000188610"	"FAM72B"	"protein_coding"	"chromosome"	"FAM72B"	653820
"ENSG00000171943"	"chr1"	121184809	121184810	2	"+"	"ENSG00000171943"	"SRGAP2C"	"protein_coding"	"chromosome"	"SRGAP2C"	653464
"ENSG00000203818"	"chr1"	143905966	143905967	2	"-"	"ENSG00000203818"	"HIST2H3PS2"	"protein_coding"	"chromosome"	"HIST2H3PS2"	.
"ENSG00000263513"	"chr1"	143971965	143971966	2	"-"	"ENSG00000263513"	"FAM72C"	"protein_coding"	"chromosome"	"FAM72C"	554282
"ENSG00000271567"	"chr1"	144373659	144373660	2	"-"	"ENSG00000271567"	"PPIAL4E"	"protein_coding"	"chromosome"	"PPIAL4E"	730262
"ENSG00000266338"	"chr1"	144461674	144461675	2	"-"	"ENSG00000266338"	"NBPF15"	"protein_coding"	"chromosome"	"NBPF15"	284565
"ENSG00000279782"	"chr1"	144592867	144592868	2	"+"	"ENSG00000279782"	"PPIAL4F"	"protein_coding"	"chromosome"	"PPIAL4F"	728945
"ENSG00000196369"	"chr1"	145095528	145095529	2	"-"	"ENSG00000196369"	"SRGAP2B"	"protein_coding"	"chromosome"	"SRGAP2B"	647135
"ENSG00000215784"	"chr1"	145095999	145096000	2	"+"	"ENSG00000215784"	"FAM72D"	"protein_coding"	"chromosome"	"FAM72D"	728833
